Score,Player_Name,Position,Team,Opposing_TeamFB,B2B,Salary,ImpPts,PtVal,MinutesProj,ProjPlusMinus,OppPlusMinus,Floor,AvgPts,Ceiling,Month_PPG,Season_PPG,Usage,UsageProj,PaceD,PER,Trend,MyTrends,Month_Salary_Change,Season_Salary_Change,Total,Pts,OppPts,Spread,Vegas,Run_Change,Season_Plus_Minus,Plus_Minus,Days_Between_games,OfficialPlusMinus,Refs,InjuryStatus,OppPlusMinusPct,Site_Salary,CeilingPct,Consistency,Month_Count,Season_Count,Confirmed,FloorPct,Pro_Pct,PtPerDPct,FloorPtPerDPct,ProjPlusMinusPct,Upside,FantasyResultId,SpreadPct,ProjPct,Season_PPG_Percentile,Salary_Movement,MyTrends|custom,ActualPoints,IsLocked,Month_X2,Month_X1,Month_X0,Season_X2,Season_X1,Season_X0,SourceId,PlayerId,EventTeamId,PositionId,EventId
56.89, Joe Ingles,SG,UTA,@LAL,2A,10,12.21,1060.0,14.5,-1.6,1.0,2.0,10.6,19.2,,,14.5,18.65,5.3,10.47,0,0,0,-2,192.0,97.3,94.8,-2.5,43,-0.5,,50,1,0.1,"Brett Nansel, John Goble, Kevin Scott",,58,96,11,,,0,,26,0,60,0,71,,1247134,73,36,,89,0,,False,,,,,,,11,12589,30197701,201,3019770
56.81, Dwight Howard,C,HOU,IND,  ,29,35.17,1096.6,35.1,-3.4,-2.0,13.3,31.8,50.3,,,17.4,18.34,-0.3,19.4,0,0,-4,-2,207.0,104.3,102.8,-1.5,81,1.0,,50,3,-0.1,"Josh Tiven, Lauren Holtkamp, Monty McCutchen",Questionable,28,34,90,,,0,,76,0,67,26,58,,1247033,53,89,,99,0,,False,,,,,,,11,12649,30197302,201,3019730
56.76, JaVale McGee,C,DAL,@MIN,  ,10,12.21,1070.0,13.2,-1.5,0.8,0.4,10.7,21.0,,,,19.89,-0.1,,0,0,0,0,199.0,101.8,97.3,-4.5,70,0.0,,50,2,0.0,"Dedric Taylor, Derek Richardson, Mike Callahan",,55,96,15,,,0,,13,0,62,0,71,,1246895,79,36,,89,0,,False,,,,,,,11,12201,30196901,201,3019690
56.62, Jason Terry,SG,HOU,IND,  ,10,12.21,1130.0,19.8,-0.9,-4.0,2.2,11.3,20.4,,,14.3,13.15,-0.3,12.08,0,0,0,0,207.0,104.3,102.8,-1.5,81,1.0,,50,3,-0.1,"Josh Tiven, Lauren Holtkamp, Monty McCutchen",,11,95,14,,,0,,27,0,71,0,76,,1247023,53,37,,89,0,,False,,,,,,,11,12129,30197302,201,3019730
56.58, Kyrie Irving,PG,CLE,@PHI,  ,30,36.38,1060.0,28.7,-4.6,4.5,18.3,31.8,45.3,,,,28.81,4.6,,0,0,,-1,206.0,111.3,95.3,-16.0,96,1.8,,50,2,0.2,"Mark Lindsay, Scott Twardoski, Tony Brothers",,85,28,82,,,0,,89,0,60,29,49,,1246949,80,89,,50,0,,False,,,,,,,11,12319,30197101,201,3019710
56.53, CJ Miles,SF,IND,@HOU,  ,19,23.09,1068.4,25.6,-2.8,3.3,9.3,20.3,31.3,,,20.2,21.06,0.3,15.52,0,0,-2,9,207.0,102.8,104.3,1.5,75,0.5,,50,2,-0.1,"Josh Tiven, Lauren Holtkamp, Monty McCutchen",,79,34,45,,,0,,63,0,62,26,62,,1247007,47,65,,95,0,,False,,,,,,,11,12028,30197301,201,3019730
56.03, PJ Hairston,SF,CHR,@DEN,2A,10,12.21,1060.0,18.0,-1.6,0.6,0.7,10.6,20.5,,,14.1,14.86,-1.1,7.98,0,0,0,0,198.5,98.0,100.5,2.5,48,-2.0,,50,1,0.0,"Ben Taylor, Eric Dalen, James Capers",,52,96,14,,,0,,16,0,60,0,71,,1247077,58,36,,89,0,,False,,,,,,,11,12515,30197501,201,3019750
55.89, Pablo Prigioni,SG,LAC,NO,2H,10,12.21,1010.0,15.4,-2.1,6.5,1.2,10.1,19.0,,,9.9,10.31,0.4,8.44,0,0,,0,204.0,106.8,97.3,-9.5,89,0.5,,50,1,0.0,"Brent Barnaky, Dedric Taylor, Derek Richardson, Leon Wood, Marc Davis, Mike Callahan",,93,88,11,,,0,,20,0,52,0,69,,1246943,64,35,,50,0,,False,,,,,,,11,12424,30197002,201,3019700
55.75, Khris Middleton,SG,MIL,@NY,  ,29,35.17,1137.9,39.2,-2.2,-5.6,20.9,33.0,45.1,,,20.4,22.58,-0.1,16.03,0,0,6,4,197.5,96.0,101.5,5.5,36,-3.0,,50,2,-0.2,"Bill Kennedy, David Guthrie, Eli Roe",,6,24,81,,,0,,94,0,72,31,67,,1247042,46,91,,0,0,,False,,,,,,,11,12405,30197401,201,3019740
55.28, Gordon Hayward,SF,UTA,@LAL,2A,34,41.21,1070.6,36.1,-4.8,6.6,23.1,36.4,49.7,,,24.5,30.64,5.3,18.14,0,0,2,5,192.0,97.3,94.8,-2.5,43,-0.5,,50,1,0.1,"Brett Nansel, John Goble, Kevin Scott",,93,5,90,,,0,,95,0,62,30,47,,1247125,73,95,,5,0,,False,,,,,,,11,12281,30197701,201,3019770
55.17, DeAndre Jordan,C,LAC,NO,2H,35,42.42,1085.7,35.1,-4.4,2.0,14.6,38.0,61.4,,,12.9,16.61,0.4,20.61,0,0,3,1,204.0,106.8,97.3,-9.5,89,0.5,,50,1,0.0,"Brent Barnaky, Dedric Taylor, Derek Richardson, Leon Wood, Marc Davis, Mike Callahan",,68,11,99,,,0,,79,0,65,26,51,,1246936,64,96,,1,0,,False,,,,,,,11,12215,30197002,201,3019700
54.46, Noah Vonleh,PF,POR,OKC,  ,10,12.21,1120.0,14.7,-1.0,-5.3,1.1,11.2,21.3,,,10.9,12.64,1.6,8.72,0,0,0,0,215.0,103.8,111.3,7.5,79,0.5,,50,2,-0.1,"Curtis Blair, Derrick Collins, Scott Foster",,6,89,15,,,0,,20,0,69,0,75,,1247120,25,37,,89,0,,False,,,,,,,11,12552,30197602,201,3019760
53.81, Rodney Hood,SG,UTA,@LAL,2A,20,24.29,1015.0,28.7,-4.0,1.0,8.4,20.3,32.2,,,20.4,20.34,5.3,13.52,0,0,2,2,192.0,97.3,94.8,-2.5,43,-0.5,,50,1,0.1,"Brett Nansel, John Goble, Kevin Scott",Questionable,58,93,48,,,0,,61,0,53,26,53,,1254037,73,65,,5,0,,False,,,,,,,11,12534,30197701,201,3019770
53.7, Greg Monroe,C,MIL,@NY,  ,28,33.96,1039.3,29.8,-4.9,3.6,12.0,29.1,46.2,,,22.1,23.01,-0.1,21.67,0,0,-6,-3,197.5,96.0,101.5,5.5,36,-3.0,,50,2,-0.2,"Bill Kennedy, David Guthrie, Eli Roe",,82,18,84,,,0,,71,0,56,26,47,,1247038,46,83,,99,0,,False,,,,,,,11,12279,30197401,201,3019740
