Score,Player_Name,Position,Team,Opposing_TeamFB,B2B,Salary,ImpPts,PtVal,MinutesProj,ProjPlusMinus,OppPlusMinus,Floor,AvgPts,Ceiling,Month_PPG,Season_PPG,Usage,UsageProj,PaceD,PER,Trend,MyTrends,Month_Salary_Change,Season_Salary_Change,Total,Pts,OppPts,Spread,Vegas,Run_Change,Season_Plus_Minus,Plus_Minus,Days_Between_games,OfficialPlusMinus,Refs,InjuryStatus,OppPlusMinusPct,Site_Salary,CeilingPct,Consistency,Month_Count,Season_Count,Confirmed,FloorPct,Pro_Pct,PtPerDPct,ProjPlusMinusPct,Upside,FantasyResultId,SpreadPct,ProjPct,Season_PPG_Percentile,Salary_Movement,MyTrends|custom,ActualPoints,IsLocked,Month_X2,Month_X1,Month_X0,Season_X2,Season_X1,Season_X0,SourceId,PlayerId,EventTeamId,PositionId,EventId
49.72, Greg Monroe,C,MIL,PHI,  ,7600,30.14,3.6,26.7,-2.9,1.3,9.6,27.2,44.8,32.0,34.8,22.3,22.52,3.5,22.39,9,2,-200,-400,196.0,103.5,92.5,-11.0,78,1.5,3.4,91,3,-0.2,"Dan Crawford, Pat Fraher, Tyler Ford",,86,47,86,80,13,69,,66,96,38,20,81,1031269,75,77,93,75,2,,False,30,53,15,37,46,15,3,12279,30043102,201,3004310
49.64, Khris Middleton,SF,MIL,PHI,  ,6200,24.03,3.7,33.6,-0.8,0.5,12.4,23.2,34.0,27.5,26.6,19.3,17.69,3.5,13.76,5,1,700,100,196.0,103.5,92.5,-11.0,78,1.5,3.6,92,3,-0.2,"Dan Crawford, Pat Fraher, Tyler Ford",,62,56,63,69,15,87,,73,67,43,36,81,1031273,75,67,80,9,1,,False,53,26,20,37,42,19,3,12405,30043102,201,3004310
49.49, Kobe Bryant,SG,LAL,OKC,2H,6900,27.08,3.7,29.0,-1.7,0.7,14.6,25.4,36.2,29.0,29.8,29.1,27.62,-0.1,13.76,7,1,-300,-1300,207.0,96.8,110.3,13.5,40,-0.2,-0.1,46,1,0.0,"Curtis Blair, Kane Fitzgerald, Tom Washington",,69,47,70,39,14,32,,80,86,43,28,61,1031424,15,73,86,80,1,,False,42,35,21,31,34,34,3,12678,30043602,201,3004360
49.26, Nick Young,SG,LAL,OKC,2H,3500,12.25,3.7,19.0,0.9,0.7,2.5,13.1,23.7,11.2,14.2,18.1,21.79,-0.1,12.6,3,0,0,-400,207.0,96.8,110.3,13.5,40,-0.2,-1.0,37,1,0.0,"Curtis Blair, Kane Fitzgerald, Tom Washington",,69,74,35,72,11,48,,26,39,43,51,33,1031417,15,27,39,63,0,,False,27,36,36,22,43,33,3,12167,30043602,201,3004360
48.58, Klay Thompson,SG,GS,UTA,  ,7200,28.39,3.8,32.2,-1.0,-1.2,14.6,27.4,40.2,31.3,30.1,22.4,24.4,-8.4,18.23,5,0,700,100,208.5,111.5,97.5,-14.0,97,0.5,1.7,72,5,-0.2,"Kevin Cutler, Leroy Richardson, Ron Garretson",,14,74,79,51,11,90,,80,67,47,34,64,1031388,77,78,86,9,0,,False,54,9,36,32,37,30,3,12329,30043502,201,3004350
48.49, Zach LaVine,SG,MIN,SAN,  ,5400,20.54,3.8,24.6,0.0,-2.2,8.4,20.5,32.6,24.3,20.3,27.6,26.59,-2.6,17.22,10,0,-100,-600,195.5,92.3,103.3,11.0,16,-1.5,2.1,76,2,-0.2,"Derrick Stafford, Eric Dalen, James Williams",,4,65,60,27,14,80,,62,98,47,43,86,1031303,15,57,63,69,0,,False,50,28,21,40,30,30,3,12521,30043202,201,3004320
48.45, Kris Humphries,PF,WAS,MEM,  ,3600,12.68,3.8,16.9,1.1,-1.1,2.2,13.8,25.4,11.3,16.6,15.5,19.54,-4.1,12.03,4,0,-200,-800,201.5,100.3,101.8,1.5,62,-1.7,0.9,60,2,0.0,"Marat Kogut, Scott Wall, Sean Wright",,16,89,38,27,11,60,,24,54,47,53,86,1031193,45,30,48,75,0,,False,45,27,27,40,30,30,3,12659,30042802,201,3004280
47.89, Robert Covington,SF,PHI,@MIL,2A,5700,21.85,3.4,24.0,-2.3,1.0,9.1,19.6,30.1,27.2,24.4,21.9,24.14,-3.5,13.07,7,1,0,-100,196.0,92.5,103.5,11.0,17,0.0,2.2,77,1,-0.2,"Dan Crawford, Pat Fraher, Tyler Ford",,78,94,52,20,15,73,,64,86,31,24,83,1031259,25,53,76,63,1,,False,40,26,33,38,27,34,3,12474,30043101,201,3004310
47.4, Tyler Zeller,C,BOS,@CHR,  ,3600,12.68,4.0,15.9,1.8,-0.9,0.6,14.5,28.4,8.0,17.3,,19.76,-2.8,,1,0,100,-1400,204.5,101.3,103.3,2.0,67,1.5,0.4,52,2,-0.1,"Courtney Kirkland, Eli Roe, Monty McCutchen",,20,56,47,31,8,77,,15,6,57,60,61,1031057,44,33,50,32,0,,False,25,12,62,31,32,36,3,12385,30042401,201,3004240
46.82, Donatas Motiejunas,PF,HOU,@ORL,  ,4400,16.17,3.7,20.1,-0.1,1.2,4.3,16.1,27.9,10.5,21.8,,19.66,-2.6,,4,0,-2000,-2000,208.0,103.5,104.5,1.0,78,1.0,1.3,66,2,-0.2,"Bill Kennedy, David Guthrie, Steven Anderson",,83,26,46,51,9,53,,35,54,43,42,69,1031144,52,39,68,99,0,,False,11,22,66,33,37,28,3,12338,30042701,201,3004270
